factor_1,factor_2,correlation
psychological,psychological,1.0
psychological,locomotor,0.4403483251018286
psychological,vitality,0.3585590524378476
psychological,cognitive,0.2642159701854655
psychological,sensory,0.29401648141763354
locomotor,psychological,0.4403483251018286
locomotor,locomotor,1.0
locomotor,vitality,0.5230888146529975
locomotor,cognitive,0.460658181463154
locomotor,sensory,0.3736285335444304
vitality,psychological,0.3585590524378476
vitality,locomotor,0.5230888146529975
vitality,vitality,1.0
vitality,cognitive,0.37341633159062754
vitality,sensory,0.35255606966432174
cognitive,psychological,0.2642159701854655
cognitive,locomotor,0.460658181463154
cognitive,vitality,0.37341633159062754
cognitive,cognitive,1.0
cognitive,sensory,0.4513188474390242
sensory,psychological,0.29401648141763354
sensory,locomotor,0.3736285335444304
sensory,vitality,0.35255606966432174
sensory,cognitive,0.4513188474390242
sensory,sensory,1.0
