indicator,domain,measurement,general_loading,domain_loading,residual_sd,std_general_loading,std_domain_loading
depres,psychological,ordinal_probit,0.8176048071029272,1.295851695628919,1.0,0.44685803443257494,0.7082416059620363
effort,psychological,ordinal_probit,1.3705819890261606,1.2072884784406726,1.0,0.6582007267282328,0.579781552831354
sleep,psychological,ordinal_probit,0.18419220782235507,0.741452032069014,1.0,0.14636519898022013,0.5891822216102379
happy,psychological,ordinal_probit,0.35471367000454906,1.0328806038697411,1.0,0.23954762519238307,0.6975318875111239
lonely,psychological,ordinal_probit,0.6283130182500123,0.7743292324268273,1.0,0.44491182931292017,0.5483066963167802
going,psychological,ordinal_probit,1.0686609806639826,1.099109966325236,1.0,0.5838649806428411,0.6005008424787022
wspeed,locomotor,continuous,0.7098839207311713,0.4277674358724604,0.6286639394406067,0.68241083421366,0.41121248733524945
chr5sec,locomotor,continuous,0.6215393134069166,0.44035836782641197,0.8136405901577413,0.5576558532867304,0.39509716612474044
balance,locomotor,ordinal_probit,0.6620391992706736,0.25772645214764195,1.0,0.5397044854861464,0.21010254741070675
grip,vitality,continuous,0.45374531525462236,0.6958616575043658,0.5917177042504917,0.4448829646809247,0.6822703988130504
fev,vitality,continuous,0.4732802769396205,0.6819987848377519,0.6029429659832566,0.4612910301066118,0.6647222318740311
hba,vitality,continuous,-0.2572648684220139,0.018179912475900697,0.9470877473348595,-0.26209375327356876,0.018521151077564187
imrc,cognitive,ordinal_probit,0.6243274535669031,1.1536861531188536,1.0,0.37850009944790775,0.6994251513246429
dlrc,cognitive,ordinal_probit,0.622324605913535,1.1849812511428788,1.0,0.37247798440488855,0.7092430924137478
memory,cognitive,ordinal_probit,0.18899004377292425,0.4200914729201442,1.0,0.17165357223905553,0.38155556004077773
hearing,sensory,ordinal_probit,0.30959415672634377,0.3999570501046092,1.0,0.27626766894764093,0.3569033830610829
nsight,sensory,ordinal_probit,0.5345626256978327,1.3605734289662947,1.0,0.3018193363571676,0.7681931913210966
dsight,sensory,ordinal_probit,0.5380768577189027,1.3671675540765629,1.0,0.3027554173613737,0.7692532720922431
