indicator,domain,measurement,observations
depres,psychological,ordinal_probit,59837
effort,psychological,ordinal_probit,59825
sleep,psychological,ordinal_probit,59841
happy,psychological,ordinal_probit,59687
lonely,psychological,ordinal_probit,59832
going,psychological,ordinal_probit,59786
wspeed,locomotor,continuous,53751
chr5sec,locomotor,continuous,14164
balance,locomotor,ordinal_probit,16573
grip,vitality,continuous,21965
fev,vitality,continuous,15322
hba,vitality,continuous,16731
imrc,cognitive,ordinal_probit,59948
dlrc,cognitive,ordinal_probit,60073
memory,cognitive,ordinal_probit,59744
hearing,sensory,ordinal_probit,63060
nsight,sensory,ordinal_probit,60400
dsight,sensory,ordinal_probit,60397
